index,0,1
4170,HRRS,"Rheine 
      Rs"
4171,HRSA,"Rheine 
      Rs (Abzw)"
4172,HRSB,"Rheine 
      Stadtberg"
4173,HRST,Rastede
4174,HRTH,Ritterhude
4175,HRTM,"Rethem 
      (Aller)"
4176,HRTN,"Rethen 
      (Leine)"
4177,HRUE,Rüningen
4178,HRUH,Rühen
4179,HRUT,Rullstorf
4180,HRWA,"Meppen 
      RWE"
4181,HRWE,Rehden-Wetschen
4182,HRWG,"Scharrel 
      RWG"
4183,HS,"Seelze 
      Pbf"
4184,"HS 
      -W","Seelze 
      Pbf Westseite"
4185,HSA,"Wangerooge 
      Saline"
4186,HSAB,Sanderbusch
4187,HSAK,Sandkrug
4188,HSAL,Salzbergen
4189,HSAN,Sande
4190,HSB,"Salzgitter 
      Bad"
4191,"HSB 
      B","Salzgitter 
      Bad Busbf"
4192,HSBA,Salzgitter-Barum
4193,HSBK,Steinbek
4194,HSBR,Schweinebrück
4195,HSBX,Sebexen
4196,HSC,Scharzfeld
4197,HSCB,Schierbrok
4198,HSCD,Scherfede
4199,HSCE,"Schlewecke 
      (Nette)"
4200,HSCG,Schnega
4201,HSCH,"Bad 
      Sachsa"
4202,HSCHE,"Steina 
      Gasthaus »Zur Erholung«"
4203,HSCHK,"Bad 
      Sachsa Kurverwaltung"
4204,HSCI,Schieder
4205,HSCL,"Schladen 
      (Harz)"
4206,HSCLS,"Schladen 
      (Harz) Spritzenhaus"
4207,HSCN,Scheuen
4208,HSCP,Schleper
4209,HSD,Salzgitter-Drütte
4210,HSDD,"Stederdorf 
      (Kr Peine)"
4211,HSDF,Stadtoldendorf
4212,HSDH,"Salzderheiden, 
      Bf"
4213,HSDHM,"Salzderheiden, 
      Mitte"
4214,HSDHR,"Salzderheiden, 
      Rosenplänter"
4215,HSDHS,"Salzderheiden, 
      Schule"
4216,HSDHV,"Salzderheiden, 
      Vogelbecker Str."
4217,HSDK,Soltendieck
4218,HSDL,Schandelah
4219,HSEB,Sedelsberg
4220,HSEM,Stemmen
4221,HSEN,Sehnde
4222,HSF,Sülfeld
4223,HSFD,"Steinfeld 
      (Oldenburg)"
4224,HSFF,Schäferhof
4225,HSFO,Schwaförden
4226,HSG,"Schwege 
      (Mäscher)"
4227,HSGM,Schwegermoor
4228,HSGN,Schöningen
4229,HSGNZ,"Schöningen 
      ZOB"
4230,HSHG,Stadthagen
4231,HSHL,"Salzhausen 
      (b Lüneburg)"
4232,HSHN,"Salzgitter 
      Hütte Nord"
4233,HSHS,"Salzgitter 
      Hütte Süd"
4234,HSHW,"Stadthagen 
      West"
4235,HSI,Salzgitter-Immendorf
4236,HSIK,"Göttingen 
      Siekweg"
4237,HSIT,Siebertal
4238,HSKD,Schlickelde
4239,HSKG,Schneiderkrug
4240,HSKO,Spiekeroog
4241,HSL,Salzgitter-Lebenstedt
4242,HSL-B,"Salzgitter-Lebenstedt 
      Bus"
4243,HSLG,Salzgitter-Lichtenberg
4244,HSLU,"Schlüsselburg 
      (Weser)"
4245,HSMK,"Braunschweig 
      Schmiedekamp"
4246,HSN,Siedenburg
4247,HSNB,Scharnebeck
4248,HSO,"Soltau 
      (Hannover)"
4249,HSO-A,"Soltau 
      (Hannover) AVL"
4250,HSO-R,"Soltau 
      (Hannover) Reisebüro Kruse"
4251,HSOA,Soltau-Harber
4252,HSOD,Scharfoldendorf
4253,HSOE,"Söllingen 
      (Braunschweig)"
4254,HSOG,Sögel
4255,HSOL,Salzgitter-Osterlinde
4256,HSOR,Sorsum
4257,HSOS,"Soltau 
      (Han) Süd"
4258,HSOT,Soderstorf
4259,HSPC,"Specken 
      (Windmühle Südhemmern)"
4260,HSPE,Spelle
4261,HSPI,Spithal
4262,HSPP,Schöppenstedt
4263,HSPPM,"Schöppenstedt 
      Markt"
4264,HSPR,Springe
4265,HSPS,"Sprakensehl 
      Busbf"
4266,HSR,"Seelze 
      Rbf"
4267,HSR-A,"Seelze 
      Rbf Swf"
4268,HSR-B,"Seelze 
      Rbf Sob"
4269,HSR-N,"Seelze 
      Rbf Zsig S"
4270,HSR-O,"Seelze 
      Rbf Ausfahrt Ost (Sof)"
4271,HSR-P,"Seelze 
      Rbf Hp"
4272,HSR-S,"Seelze 
      Rbf Ausfahrt Süd (Soü)"
4273,HSR-W,"Seelze 
      Rbf Ausfahrt West (Sig P)"
4274,HSRD,Sarstedt
4275,HSRI,Salzgitter-Ringelheim
4276,HSRL,Scharrel
4277,HSSN,Seesen
4278,HSSNB,"Seesen 
      Busbf"
4279,HSST,Schafstall
4280,HST,Salzgitter-Thiede
4281,HSTA,"Osnabrück 
      Stahlwerkskurve"
4282,HSTB,Steinbergen
4283,HSTD,Stedden
4284,HSTE,"Stelle 
      (bei Groß Mackenstedt"
4285,HSTF,"Stederdorf 
      (Kr Uelzen)"
4286,HSTG,Steyerberg
4287,HSTK,Stöcken
4288,HSTM,"Steinheim 
      (Westf)"
4289,HSTN,Steinhorst
4290,HSTP,"Steinmühle 
      (b Polle)"
4291,HSTR,"Ströhen 
      (Han)"
4292,HSTT,Schüttorf
4293,HSTU,Stuhr
4294,HSTW,Ströhen-Wagenfeld
4295,HSUB,Stubben
4296,HSUD,Suderburg
4297,HSUH,Sudheim
4298,HSUK,Sülbeck
4299,HSUL,"Sulingen 
      (Hannover)"
4300,HSUN,Sutthausen
4301,HSUS,Süstedt
4302,HSUW,Suderwittingen
4303,HSUZ,"Sülze 
      (Hannover)"
4304,HSVL,"Stickhausen-Velde 
      (Ostfriesland)"
4305,HSW,Salzgitter-Watenstedt
4306,HSWB,Schwindebeck
4307,HSWI,"Salzgitter-Watenstedt 
      (IKEA)"
4308,HSWO,Schönewörde
4309,HSWS,Schwarmstedt
4310,HSWY,Sudweyhe
4311,HSYD,"Syke 
      Ost"
4312,HSYK,Syke
4313,HSYKH,"Syke 
      Herrlichkeit"
4314,HSZB,"Salzgitter-Beddingen 
      Hafen"
4315,HSZC,Salzgitter-Calbecht
4316,HSZE,Salzgitter-Engelnstedt
4317,HSZG,Salzgitter-Gebhardshagen
4318,HSZH,"Salzgitter 
      Haverlahwiese"
4319,HSZI,"Salzgitter-Immendorf 
      West"
4320,HSZK,"Salzgitter 
      Schacht Konrad 1"
4321,HSZV,"Salzgitter 
      Voßpass"
4322,HT,Twistringen
4323,HTBR,"Scharrel 
      Ton- und Torfwerke"
4324,HTDH,Thedinghausen
4325,HTFH,Tülau-Fahrenhorst
4326,HTH,Thüste
4327,HTHD,Tonnenheide
4328,HTHS,Todtenhausen
4329,HTIE,"Hannover 
      Tiergarten"
4330,HTKB,"Tecklenburg 
      (VKT)"
4331,HTNH,Tönnhausen
4332,HTOH,Torfhaus
4333,HTPP,Toppenstedt
4334,HTRA,Trauen
4335,HTRI,Triangel
4336,HTWP,"Klein 
      Twülpstedt"
4337,HU,"Uelzen 
      Pbf"
4338,HU-G,"Uelzen 
      Gbf"
4339,HU-Z,"Uelzen 
      ZOB"
4340,HUA,"Scharrel 
      Union"
4341,HUCH,Uchte
4342,HUET,"Uetze 
      (Hannover)"
4343,HUFN,Uffeln
4344,HUNL,Unterlüß
4345,HUNT,Unterstedt
4346,HUNZ,Uenzen
4347,HUS,Uslar
4348,HUSS,"Uslar 
      Stadt"
4349,HUTB,"Bremen 
      Utbremen"
4350,HUTH,Uthuisen
4351,HUTR,Unterrieden
4352,HV,"Verden 
      (Aller)"
4353,HVA,"Varel 
      (Oldenburg)"
4354,HVAB,Varrelbusch
4355,HVAH,Bremen-Vahr
4356,HVAL,"Varrel 
      (Hannover)"
4357,HVAW,"Varel 
      West"
4358,HVBG,Vienenburg
4359,HVBGP,"Vienenburg 
      Post"
4360,HVBK,Vennebeck
4361,HVCH,Vechta
4362,HVCS,Vechta-Stoppelmarkt
4363,HVDH,Veldhausen
4364,HVEA,"Verden 
      (Aller) Süd"
4365,HVEC,Vechelde
4366,HVEH,Vehrte
4367,HVEP,"Velpe 
      (Westfalen)"
4368,HVHP,Vorhop
4369,HVHS,Hülsen
4370,HVIC,Victorbur
4371,HVIH,"Vilser 
      Holz"
4372,HVIN,Hannover-Vinnhorst
4373,HVIO,"Vilsen 
      Ort"
4374,HVIS,Visselhövede
4375,HVISA,"Visselhövede 
      Stadt"
4376,HVLH,Verliehausen
4377,HVLO,Vlotho
4378,HVLOS,"Vlotho 
      (Schiff)"
4379,HVMP,Vormeppen
4380,HVOBK,"Vogelbeck, 
      Kirche"
4381,HVOBS,"Vogelbeck, 
      Schule"
4382,HVOBZ,"Vogelbeck, 
      Zementwerk"
4383,HVOE,Vöhrum
4384,HVOL,Voldagsen
4385,HVOLD,Voldagsen
4386,HVOP,Volpriehausen
4387,HVOR,Vorsfelde
4388,HVOW,Vorwohle
4389,HVOWD,"Vorwohle 
      DBG"
4390,HVPK,"Velpke 
      (Braunschweig)"
4391,HVSB,"Bohmte 
      Vosberg"
4392,HVTH,"Veltheim 
      (b Rinteln)"
4393,HVWH,Vernawahlshausen
4394,HVWR,Vorwalsrode
4395,HW,Wilhelmshaven
4396,"HW 
      1","Wilhelmshaven 
      (Einsatzstelle)"
4397,HW-H,"Wilhelmshaven 
      Helgolandkai"
4398,HWA,"Wangerooge 
      Westanleger"
4399,HWA,"Wangerooge 
      Westanleger"
4400,HWAB,Wahnebergen
4401,HWAD,Wachendorf
4402,HWAL,"Walle 
      (Kr Verden)"
4403,HWAM,Hannover-Waldheim
4404,HWAR,"Warburg 
      (Westfalen)"
4405,"HWAR 
      1","Warburg 
      (Westfalen) (Einsatzstelle)"
4406,HWAT,Watenbüttel
4407,HWAZ,Wahrenholz
4408,HWBD,Willebadessen
4409,HWBL,Wahlsburg-Lippoldsberg
4410,HWBM,Wardböhmen
4411,HWDA,"Wieda 
      Kurverwaltung"
4412,HWDH,"Windheim 
      (Weser)"
4413,HWDZ,Wendezelle
4414,HWEA,"Weddel 
      (Abzw)"
4415,HWEB,Wenden-Bechtsbüttel
4416,HWED,"Weddel 
      (Braunschw)"
4417,HWEE,Weener
4418,HWEH,"Wehrden 
      (Weser)"
4419,HWEL,Hameln-Wehl
4420,HWEN,Wendessen
4421,HWET,Wettringen
4422,HWEW,Westerwalsede
4423,HWEY,Westerweyhe
4424,HWEZ,Weetzen
4425,HWFR,Waldfrieden
4426,HWG,Wangerooge
4427,HWHF,Waldhöfe
4428,HWHM,"Minden 
      (Westfalen) Westhafen"
4429,HWHN,Hannover-Waldhausen
4430,HWHS,"Wilhelmshaven 
      Stadt Wilhelmshaven"
4431,HWIA,"Winsen 
      (Aller)"
4432,HWID,"Winsen 
      (Luhe) Süd"
4433,HWIE,Wienhausen
4434,HWIH,Wildeshausen
4435,HWIL,Wittlage
4436,HWIN,Winninghausen
4437,HWIR,Wierthe
4438,HWIS,Wissingen
4439,HWJ,"Wilhelmshaven 
      Jade"
4440,HWKD,Walkenried
4441,HWKDB,"Walkenried 
      Bahnhof"
4442,HWKP,"Wiehe 
      Kurpark"
4443,HWKS,Wickensen
4444,HWLD,"Westoverledingen 
      Gemeinde"
4445,HWLI,Wolfenbüttel-Linden
4446,HWLL,"Wellendorf 
      (Kr Osnabrück)"
4447,HWM,"Wiesmoor 
      Markt"
4448,HWMS,Warmsen
4449,HWN,"Wangerooge 
      Westen"
4450,HWNA,"Wilhelmshaven 
      Nordstrecke"
4451,HWNO,"Wilhelmshaven 
      Nord"
4452,HWNS,Watenstedt
4453,HWOB,Wolfsburg
4454,HWOBB,"Wolfsburg 
      Busbf"
4455,HWOE,"Wilhelmshaven 
      Ölweiche"
4456,HWOL,Wolfenbüttel
4457,HWOLK,"Wolfenbüttel 
      Kornmarkt"
4458,HWOT,Woltorf
4459,HWPS,Wipshausen
4460,HWRD,Wehrendorf
4461,HWRN,Wieren
4462,HWRS,Wersen
4463,HWRT,Werlte
4464,HWRX,Wrexen
4465,HWSD,"Westerstede 
      (Oldenburg)"
4466,HWSDZ,"Westerstede 
      ZOB"
4467,HWSN,"Wennigsen 
      (Deister)"
4468,HWSO,Westerode
4469,HWSR,Walsrode
4470,HWTB,Westerbrak
4471,HWTH,"Westerhausen 
      (Kr Melle)"
4472,HWTK,Westerkappeln
4473,HWTM,Wittmund
4474,HWTS,"Witzenhausen 
      Süd"
4475,HWTSB,"Witzenhausen 
      Busbf"
4476,HWTT,Wittingen
4477,HWTW,"Wittingen 
      West"
4478,HWU,Hannover-Wülfel
4479,HWUE,Wüsting
4480,HWUF,Wulfsen
4481,HWUL,Wulften
4482,HWUN,Wunstorf
4483,HWUS,"Wunstorf 
      Stadt"
4484,HWUW,"Wunstorf 
      West"
4485,HWV,Wilhelmshaven-Voslapp
4486,HWW,"Wilhelmshaven 
      West"
4487,HWWI,Woltwiesche
4488,HWZD,Wietzendorf
4489,HWZN,"Wietzen 
      (Kr Nienburg)"
4490,HXB,"Bad 
      Bentheim Grenze"
4491,HXE,"Eichenberg 
      (Tarifgrenze)"
4492,HXH,"Helmstedt 
      (Tarifgrenze)"
4493,HXL,"Laarwald 
      Grenze"
4494,HXWE,"Weener 
      Grenze"
4495,HYBA,"Bad 
      Bentheim (- Amersfoort)"
4496,HYBK,"Bad 
      Bentheim (- Kifhoek)"
4497,HZSA,"Varel 
      Halbzellstoff 1/2"
4498,HZSB,Zasenbeck
4499,HZTL,Zetel
4500,HZWD,"Ibbenbüren 
      Zumwalde"
4501,HZWI,"Bad 
      Zwischenahn"
4502,EA,Altenhundem
4503,EABG,Altenberge
4504,EABL,Albersloh
4505,EABT,Albachten
4506,EAHA,"Ahaus 
      AE"
4507,EAHK,"Warendorf 
      Ahmerkamp"
4508,EAHL,"Ahlen 
      (Westfalen)"
4509,EAHLG,"Ahlen 
      (Westfalen) Gbf"
4510,EAHS,Ahaus
4511,EAHW,"Ahaus 
      WLE"
4512,EALN,"Altena 
      (Westfalen)"
4513,EALNB,"Altena 
      (Westfalen) BFS"
4514,EALS,Alstaden
4515,EAMA,Amalienhütte
4516,EAML,Amelsbüren
4517,EANN,"Geseke 
      Anneliese"
4518,EAOH,"Menden 
      Am Obsthof"
4519,EAPH,Appelhülsen
4520,EARB,"Arnsberg 
      (Westfalen)"
4521,EARE,Ardey
4522,EARJ,"Arnsberg 
      (Westfalen) Jägerbrücke"
4523,EARS,"Arnsberg 
      (Westfalen) Süd"
4524,EART,Anröchte
4525,EASB,"Ascheberg 
      (Westfalen)"
4526,EASE,Altenseelbach
4527,EAST,"Gescher 
      Stadt"
4528,EAT,Attendorn
4529,EATF,"Ennepetal 
      Altfeld"
4530,EATT,Alstätte
4531,EAU,"Bönen 
      Autobahn"
4532,EAWN,Aue-Wingeshausen
4533,EBAH,"Buschhütten 
      Achenbach"
4534,EBAU,Baukau
4535,EBAV,Balve
4536,EBB,Billerbeck
4537,EBCH,Bocholt
4538,EBCK,Bockum-Hövel
4539,EBDA,Bochum-Dahlhausen
4540,EBDAE,"Bochum-Dahlhausen 
      EBD"
4541,EBDAM,"Bochum-Dahlhausen 
      EBM"
4542,EBDB,"Niederfischbach 
      Büdenbender"
4543,EBDL,Bredelar
4544,EBDO,"Biersdorf 
      (Westerwald) Ort"
4545,EBDW,"Steinebach 
      Bindweide"
4546,EBEA,"Beelen 
      Gemeinde"
4547,EBEE,Beelen
4548,EBEG,"Berge 
      (Kr Meschede)"
4549,EBEH,Benninghausen
4550,EBEK,Beckum
4551,EBEK,Beckum
4552,EBEO,Bönen
4553,EBET,"Beckum 
      Ost"
4554,EBFT,Burgsteinfurt
4555,EBGA,Berghausen
4556,EBGH,Bergerhammer
4557,EBGO,"Borghorst 
      (Westf)"
4558,EBGZ,"Bochum 
      NOKIA"
4559,EBHA,"Bochum 
      Häusser AG"
4560,EBHS,Borgholzhausen
4561,EBHT,Bornholte
4562,EBHW,"Bruchhausen 
      (Kr Arnsberg/Westfalen)"
4563,EBID,"Biersdorf 
      Bf (Westerwald)"
4564,EBIG,Bigge
4565,EBIL,"Bielefeld 
      Hbf"
4566,EBILG,"Bielefeld 
      Hbf Vorbahnhof"
4567,EBILJ,"Bielefeld 
      Jagdweg"
4568,EBILP,"Bielefeld 
      Hbf Pbf"
4569,EBIN,Binolen
4570,EBIO,"Bielefeld 
      Ost"
4571,EBK,"Borken 
      (Westfalen)"
4572,"EBK 
      1","Borken 
      (Westfalen) (Einsatzstelle)"
4573,EBKB,Birkelbach
4574,EBKH,Blankenhagen
4575,EBKM,Bergkamen
4576,EBKP,Blumenkamp
4577,EBKR,"Hemer 
      Bräuckerstraße"
4578,EBKW,"Borken 
      WLE"
4579,EBLA,Bochum-Langendreer
4580,EBLAB,"Bochum-Langendreer 
      Bez. Os"
4581,EBLAG,"Bochum-Langendreer 
      Lgf"
4582,EBLAI,"Bochum-Langendreer 
      Bez. West"
4583,EBLAM,"Bochum-Langendreer 
      Bez. Mitte"
4584,EBLAO,"Bochum-Langendreer 
      Ostberg"
4585,EBLAP,"Bochum-Langendreer 
      Lpf"
4586,EBLAS,"Bochum-Langendreer 
      Bez. Süd"
4587,EBLAW,"Bochum-Langendreer 
      Bez. I"
4588,EBLAZ,"Bochum-Langendreer 
      Bez. Kreuz"
4589,EBLB,"Bad 
      Berleburg"
4590,EBLK,Belecke
4591,EBLR,Bochum-Laer
4592,EBLS,"Blankenstein 
      (Ruhr)"
4593,EBLSB,"Blankenstein 
      (Ruhr) Burg"
4594,EBLT,"Recklinghausen 
      Blumenthal"
4595,EBMK,Bremke
4596,EBND,"Bochum 
      Bundeswehr"
4597,EBNH,Bünninghausen
4598,EBNO,"Bochum 
      Nord"
4599,EBO,"Bochum 
      Hbf"
4600,EBO-E,"Bochum 
      Hbf Bez. Eppendorf"
4601,EBO-G,"Bochum 
      Gbf"
4602,EBO-T,"Bochum 
      Hbf"
4603,EBO-Z,"Bochum 
      Hbf ZOB"
4604,EBOA,"Bochum 
      Stadt (Anst)"
4605,EBOE,Bochum-Ehrenfeld
4606,EBOH,Bochum-Hamme
4607,EBOI,"Bochum 
      Ikea"
4608,EBOK,"Bork 
      (Westfalen)"
4609,EBOR,Borgeln
4610,EBOW,"Bochum 
      West"
4611,EBP,"Bochum-Langendreer 
      (S-Bahn)"
4612,EBPR,"Bochum 
      Präsident"
4613,EBPRK,"Bochum 
      Präsident Anschluß Krupp"
4614,EBRA,"Brake 
      (b Bielefeld)"
4615,EBRAH,"Brake 
      (b Bielefeld) Hp"
4616,EBRB,Brachbach
4617,EBRH,Beringhausen
4618,EBRI,Bochum-Riemke
4619,EBRN,Brün
4620,EBRO,Brock-Ostbevern
4621,EBRS,"Brilon 
      Stadt"
4622,EBRU,"Brügge 
      (Westfalen)"
4623,EBRUB,"Brügge 
      (Westfalen) BFS"
4624,EBRW,"Brilon 
      Wald"
4625,EBSA,"Bad 
      Sassendorf"
4626,EBSG,"Buschhütten 
      Siemag"
4627,EBSL,Bösensell
4628,EBSP,Bösperde
4629,EBST,"Hohenlimburg 
      Bilstein"
4630,EBSU,"Bad 
      Salzuflen"
4631,EBTB,Bottrop-Boy
4632,EBTH,"Bottrop 
      Hbf"
4633,EBTHG,"Bottrop 
      Hbf - Gbf"
4634,EBTHN,"Bottrop 
      Hbf - Not"
4635,EBTHP,"Bottrop 
      Hbf - Pbf"
4636,EBTN,"Bottrop 
      Nord"
4637,EBTND,"Bottrop 
      Delog/Detag"
4638,EBTS,"Bottrop 
      Süd"
4639,EBTSP,"Bottrop 
      Süd Übergabebf Prosper"
4640,EBTT,"Paderborn 
      Benteler-Talle"
4641,EBTV,Bottrop-Vonderort
4642,EBU,Borken-Burlo
4643,EBUD,Buldern
4644,EBUE,"Büren 
      (Westfalen)"
4645,EBUG,"Würgendorf 
      Gemeinde Burbach"
4646,EBUH,"Essen-Dellwig 
      Büscherhof"
4647,EBUR,"Burbach 
      (Kr Siegen)"
4648,EBUS,"Dortmund 
      Buschstraße"
4649,EBW,"Bochum-Langendreer 
      West"
4650,EBWE,Brackwede
4651,EBWEG,"Brackwede 
      Gbf"
4652,EBWG,Bestwig
4653,EBWG1,Bestwig
4654,EBWR,Bochum-Weitmar
4655,EBWS,"Brackwede 
      Süd"
4656,EBWW,"Brackwede 
      Wächterstraße (Planung)"
4657,EBZ,"Betzdorf 
      (Sieg)"
4658,"EBZ 
      1","Betzdorf 
      (Sieg) (Einsatzstelle)"
4659,EBZ-G,"Betzdorf 
      (Sieg) Berggleise"
4660,ECA,"Castrop-Rauxel 
      Hbf"
4661,ECAS,"Castrop-Rauxel 
      Süd"
4662,ECASP,"Castrop-Rauxel 
      Süd Hp"
4663,ECME,Castrop-Rauxel-Merklinde
4664,ECMF,"Coesfeld 
      (Westfalen)"
4665,ECMF1,"Coesfeld(Westfalen) 
      (Einatzstelle)"
4666,ECMS,"Coesfeld 
      (Westf) Stadt"
4667,ECO,"Clarholz 
      Awanst"
4668,ECOH,Clarholz
4669,ECP,"Capelle 
      (Westfalen)"
4670,ECRA,Crange
4671,ECWH,"Marl 
      CWH"
4672,ECWHA,"Marl 
      Hüls AG"
4673,EDAB,Dahlbruch
4674,EDAD,Daaden
4675,EDAF,Darfeld
4676,EDAK,Dahlerbrück
4677,EDAM,"Dortmund-Asseln 
      Mitte"
4678,EDAP,Dortmund-Aplerbeck
4679,EDAS,Dortmund-Asseln
4680,EDAT,Datteln
4681,EDAU,"Dortmund-Aplerbeck 
      Süd"
4682,EDBA,Dortmund-Barop
4683,EDBAB,"Dortmund-Barop 
      BFS"
4684,EDBG,"Duisburg-Beeck 
      Gbf"
4685,EDBH,Dortmund-Bövinghausen
4686,EDBI,Duisburg-Bissingheim
4687,EDBK,Dortmund-Brackel
4688,EDBS,"Bigge 
      Deutsche Bauernsiedlung"
4689,EDBU,Duisburg-Buchholz
4690,EDBUA,"Duisburg-Buchholz 
      Abzw"
4691,EDBW,"Dortmund 
      Dbw"
4692,EDBZ,"Duisburg-Buchholz 
      Abzw"
4693,EDD,Dortmund-Derne
4694,EDDP,Dortmund-Dorstfeld
4695,EDDPB,"Dortmund-Dorstfeld 
      (S-Bahn)"
4696,EDDPH,"Dortmund-Dorstfeld 
      (hoch)"
4697,EDDPO,"Dortmund-Dorstfeld 
      Ost"
4698,EDDPT,"Dortmund-Dorstfeld 
      (tief)"
4699,EDDS,"Dortmund-Dorstfeld 
      Süd"
4700,EDED,Dedinghausen
4701,EDEF,"Duisburg 
      Entenfang"
4702,EDEP,"Bielefeld-Ubbedissen 
      Deppe"
4703,EDEU,Deuten
4704,EDEV,Dortmund-Eving
4705,EDEZ,"Deuz 
      (Kr Siegen)"
4706,EDFB,"Dortmund 
      Flm"
4707,EDFD,"Dortmund 
      Dfd"
4708,EDFM,"Dortmund-Lütgendortmund 
      Gbf Flm"
4709,EDFO,Diersfordt
4710,EDFW,"Dortmund-Dorstfeld 
      West"
4711,EDG,"Duisburg 
      Hbf"
4712,"EDG 
      1","Duisburg 
      (Bh)"
4713,EDG-A,"Duisburg 
      Hbf A-Sig"
4714,EDG-B,"Duisburg 
      Hbf Bez I"
4715,EDG-E,"Duisburg 
      Hbf Bezirk IV"
4716,EDG-G,"Duisburg 
      Hbf Dbm"
4717,EDG-P,"Duisburg 
      Hbf Dhf"
4718,EDG-S,"Duisburg 
      Hbf Stw 6"
4719,"EDG 
      U","Duisburg 
      Hbf Bus"
4720,EDG-W,"Duisburg 
      Hbf (Gl 179/180)"
4721,EDGD,Dingden
4722,EDGM,"Dortmund 
      Germania"
4723,EDGR,Duisburg-Großenbaum
4724,EDGW,"Duisburg 
      Betriebszentrale NL West"
4725,EDH,Dortmund-Hörde
4726,EDHA,"Duisburg 
      Hafen"
4727,EDHB,Duisburg-Hamborn
4728,EDHD,"Duisburg-Hochfeld 
      Süd"
4729,EDHDA,"Duisburg-Hochfeld 
      Süd Hd Abzw"
4730,EDHDB,"Duisburg-Hochfeld 
      Süd Brücke"
4731,EDHDD,"Duisburg-Hochfeld 
      Süd (Stw 3)"
4732,EDHDH,"Duisburg-Hochfeld 
      Süd Hafen"
4733,EDHDO,"Duisburg-Hochfeld 
      Süd Hd"
4734,EDHDR,"Duisburg-Hochfeld 
      Süd Br"
4735,EDHDS,"Duisburg-Hochfeld 
      Süd (Stw 5)"
4736,EDHDW,Duisburg-Wanheim
4737,EDHDZ,"Duisburg-Hochfeld 
      Süd Zsig B"
4738,EDHK,"Dortmund-Huckarde 
      Süd"
4739,EDHKU,"Dortmund-Huckarde 
      Süd (Üst)"
4740,EDHL,Dahl
4741,EDHM,"Duisburg-Hochfeld 
      Süd Mannesmann"
4742,EDHN,"Duisburg-Hochfeld 
      Nord"
4743,EDHNK,"Duisburg-Hochfeld 
      Nord Kre"
4744,EDHP,"Duisburg-Hochfeld 
      Süd (Hp)"
4745,EDHU,"Dortmund-Huckarde 
      Nord"
4746,EDHZ,"Duisburg-Hochfeld 
      Süd Abzw"
4747,EDIB,Diebrock
4748,EDIN,Dinslaken
4749,EDK,Dortmund-Kley
4750,EDKA,"Dortmund-Kruckel 
      Awanst"
4751,EDKD,Dortmund-Kirchderne
4752,EDKH,Dortmund-Kirchhörde
4753,EDKK,"Dortmund 
      Knappschaftskrankenhaus"
4754,EDKO,Dortmund-Körne
4755,EDKR,Dortmund-Kruckel
4756,EDKRB,"Dortmund-Kruckel 
      BFS"
4757,EDKU,Dortmund-Kurl
4758,EDKW,"Halle 
      (Westfalen) Dürrkoppwerke"
4759,EDLH,Dortmund-Löttringhausen
4760,EDLN,"Dortmund-Lütgendortmund 
      Nord"
4761,EDLS,"Dortmund-Lütgendortmund 
      (S-Bahn)"
4762,EDLU,"Dortmund-Lütgendortmund 
      Gbf"
4763,EDMB,"Dortmund 
      Möllerbrücke"
4764,EDME,"Duisburg-Meiderich 
      Süd"
4765,EDMEA,"Duisburg-Meiderich 
      Süd Abzw"
4766,EDMF,"Dortmund 
      Dortmunderfeld"
4767,EDMG,Dortmund-Mengede
4768,EDMO,"Duisburg-Meiderich 
      Ost"
4769,EDMR,Dortmund-Marten
4770,EDMS,"Dortmund-Marten 
      Süd"
4771,EDND,"Dortmund 
      Nord"
4772,EDO,"Dortmund 
      Hbf"
4773,"EDO 
      1","Dortmund 
      (Bh)"
4774,EDO-A,"Dortmund 
      Autozug"
4775,EDO-B,"Dortmund 
      Hbf BFS"
4776,EDO-N,"Dortmund 
      Nachtzug"
4777,EDO-U,"Dortmund 
      Hbf Busbf"
4778,EDOA,"Dortmund 
      Stadt"
4779,EDOB,"Dortmund 
      Bbf"
4780,EDOBA,"Dortmund 
      Bbf Dba"
4781,EDOBN,"Dortmund 
      Bbf Dbn"
4782,EDOBO,"Dortmund 
      Ostgruppe"
4783,EDOBW,"Dortmund 
      Bbf Dbw"
4784,EDOE,Dortmund-Obereving
4785,EDOEF,"Dortmund-Obereving 
      Oef"
4786,EDOEG,"Dortmund-Obereving 
      Gleis 3 a"
4787,EDOF,Dortmund-Westerfilde
4788,EDOG,"Dortmund 
      Gbf"
4789,EDOGO,"Dortmund 
      Gbf Ostberg"
4790,EDOGW,"Dortmund 
      Gbf Westberg"
4791,EDOH,Dortmund-Huckarde
4792,EDOL,Dortmund-Wischlingen
4793,EDOM,Duisburg-Obermeiderich
4794,EDOO,Dortmund-Nette/Oestrich
4795,EDOP,Dortmund-Oespel
4796,EDOS,"Dortmund 
      Süd"
4797,EDOST,"Dortmund 
      Süd"
4798,EDOT,"Dortmund 
      Ost"
4799,EDOW,"Dortmund 
      Werkstätte"
4800,EDOZ,"Dortmund 
      Zinkhütte"
4801,EDRA,Dortmund-Rahm
4802,EDRB,Dortmund-Remberg
4803,EDRH,"Duisburg-Ruhrort 
      Hafen"
4804,EDRHC,"Duisburg-Ruhrort 
      Hafen Becken C"
4805,EDRHD,"Duisburg-Ruhrort 
      Hafen Bez. III"
4806,EDRHG,"Duisburg-Ruhrort 
      Hafen Schadweg"
