index,0,1
155,AEG,Eggebek
156,AEGS,"Hamburg 
          Elbgaustraße"
157,AEI,Eidersperrwerk
158,AEL,Elmshorn
159,AEL-F,"Elmshorn 
          (Elf)"
160,AEL-N,"Elmshorn 
          Nord"
161,AEL-W,"Elmshorn 
          West"
162,AELA,Ellerau
163,AEN,Hamburg-Eidelstedt
164,AENO,"Hamburg-Eidelstedt 
          Ost"
165,AEOF,Edendorf
166,AERI,"Hamburg 
          Ericus"
167,AERIA,"Hamburg 
          Ericus Awanst"
168,AESL,"Essel 
          (Kr Stade)"
169,AEST,"Hamburg-Eidelstedt 
          (S-Bahn)"
170,AEU,Eutin
171,AF,Flensburg
172,AF-Z,"Flensburg 
          ZOB"
173,AFAL,Faulück
174,AFB,"Hamburg-Klein 
          Flottbek"
175,AFBG,"Hamburg 
          Friedrichsberg"
176,AFC,Fockbek
177,AFD,Friedrichstadt
178,AFE,Fredenbeck
179,AFF,Frelsdorf
180,AFFB,Fiefbergen
181,AFHF,"Flensburg 
          Alter Bahnhof"
182,AFK,Fahrenkrug
183,AFKW,Hamburg-Finkenwerder
184,AFKWS,"Hamburg-Finkenwerder 
          Steendiek"
185,AFN,Fresenburg
186,AFR,"Flensburg 
          Friedensweg"
187,AFRD,Friedrichsruh
188,AFRG,Friedrichsgabe
189,AFS,"Flensburg 
          Süd"
190,AFT,Flintbek
191,AFW,"Flensburg 
          Weiche"
192,AFW-A,"Flensburg 
          Weiche (Wa)"
193,AFW-S,"Flensburg 
          Weiche Süd"
194,AFWI,"Flensburg 
          Wilhelminental"
195,AFWP,"Flensburg 
          Weiche Papierfabrik"
196,AGAS,Garstedt
197,AGD,Garding
198,AGE,Grube
199,AGEH,Geesthacht
200,AGEL,"Gelting 
          (Mole)"
201,AGF,Gettorf
202,AGH,Göhrde
203,AGHI,"Grüner 
          Hirsch"
204,AGK,Gokels
205,AGL,Gollau
206,AGNB,Gnarrenburg
207,AGND,Glinde
208,AGO,Godenstedt
209,AGOE,Göhl
210,AGR,"Groß 
          Schlamin"
211,AGRD,"Grabow 
          (Kr Dannenberg)"
212,AGRO,Großenbrode
213,AGSA,Großenaspe
214,AGST,Glückstadt
215,AGSTS,"Glückstadt 
          (Schiff)"
216,AGTH,Geestenseth
217,AGUE,Güster
218,AGZS,"Grömitz 
          Strand"
219,AH,"Hamburg 
          Hbf"
220,AH-Z,"Hamburg 
          Hbf ZOB"
221,AHA,Harblek
222,AHAB,Hamburg-Hammerbrook
223,AHAF,Haffkrug
224,AHAH,Haferwisch
225,AHAL,Harrislee
226,AHAM,Hammah
227,AHAN,Handeloh
228,AHAR,Hamburg-Harburg
229,AHARB,"Hamburg-Harburg 
          Bbf"
230,AHB,"Hamburg 
          Unterelbe"
231,AHBI,Hamburg-Billwerder
232,AHBIA,"Hamburg-Billwerder 
          Moorfleet"
233,AHBIU,"Hamburg-Billwerder 
          Ubf"
234,AHBK,Hollenbek
235,AHBN,"Hamburg 
          Hgbf"
236,AHBNO,"Hamburg 
          Hgbf (Hob)"
237,AHBNW,"Hamburg 
          Hgbf (Rw)"
238,AHBR,Hamburg-Hausbruch
239,AHBRM,"Hamburg-Hausbruch 
          Mitte"
240,AHBRS,"Hamburg-Hausbruch 
          (S-Bahn)"
241,AHBS,"Hamburg 
          Süd"
242,AHBSA,"Hamburg 
          Süd Australia-Hafen"
243,AHBSB,"Hamburg 
          Süd Buchheisterkai"
244,AHBSK,"Hamburg 
          Süd Kamerun-Hafen"
245,AHBSO,"Hamburg 
          Süd O'Swaldkai"
246,AHBSR,"Hamburg 
          Süd Roßhafen"
247,AHBST,"Hamburg 
          Süd Tollerort"
248,AHBSU,"Hamburg 
          Süd Kuhwerder Hafen"
249,AHBSW,"Hamburg 
          Süd Worthdamm"
250,AHCH,"Hamburg 
          Hoheneichen"
251,AHDH,Heudorf-Hüttendorf
252,AHDM,Hindenburgdamm
253,AHDN,"Heidenau 
          (Kr. Harburg)"
254,AHDT,Hattstedt
255,AHE,Hemmingstedt
256,AHEL,Heeslingen
257,AHEM,Hemmoor
258,AHEN,Hechthausen
259,AHER,"Heringsdorf 
          (Holst)"
260,AHES,Holm-Seppensen
261,AHFD,Harsefeld
262,AHFH,"Hamburg 
          Fischereihafen"
263,AHFS,Hamburg-Heimfeld
264,AHGH,"Hagen 
          (Holstein)"
265,AHGLK,"Helgoland 
          (Südhafen) Katamaran"
266,AHGLR,"Helgoland 
          (Reede)"
267,AHGLS,"Helgoland 
          (Südhafen)"
268,AHGN,"Hagen 
          (Kr Stade)"
269,AHH,"Hörnum 
          (Sylt) Hafen"
270,AHH-M,"Hörnum 
          (Sylt) Mitte"
271,AHH-N,"Hörnum 
          (Sylt) Nord"
272,AHH-S,"Hörnum 
          (Sylt)"
273,AHH-T,"Hörnum 
          (Sylt) Steintal"
274,AHHF,Heiligenhafen
275,AHHO,"Hallig 
          Hooge"
276,AHI,"Heide 
          (Holst)"
277,AHIF,Hittfeld
278,AHKM,"Hamburger 
          Kinderheim (Sylt)"
279,AHKS,Halstenbek
280,AHLA,"Hallig 
          Langeneß"
281,AHLF,Haslohfurth
282,AHLG,Harlingen
283,AHLH,Hasloh
284,AHLO,Hohenlockstedt
285,AHM,Husum
286,"AHM 
          1","Husum 
          EST"
287,"AHM 
          A","Husum 
          Außenhafen"
288,"AHM 
          F","Husum 
          (Hf)"
289,"AHM 
          N","Husum 
          Nordstrand"
290,"AHM 
          Z","Husum 
          ZOB"
291,AHNU,Hademarschen
292,AHO,"Hamburg 
          Unterelbe Seehafen"
293,AHOE,Hörn
294,AHOF,Hesedorf
295,AHOG,Horneburg
296,AHOL,Hollenstedt
297,AHOR,Hamburg-Horn
298,AHOS,"Hamburg 
          Hohe Schaar"
299,AHOSB,"Hamburg 
          Hohe Schaar Kattwykbrücke"
300,AHOSK,"Hamburg 
          Hohe Schaar (KOW)"
301,AHOSP,"Hamburg 
          Hohe Schaar Peute"
302,AHOSS,"Hamburg 
          Hohe Schaar Süd"
303,AHPD,Hepstedt
304,AHPF,Himmelpforten
305,AHPS,"Hamburg 
          Hochkamp"
306,AHRF,"Hamburg-Harburg 
          Rathaus"
307,AHRO,Hamburg-Rothenburgsort
308,AHROF,"Hamburg-Rothenburgsort 
          Tk"
309,AHROO,"Hamburg-Rothenburgsort 
          Ro"
310,AHROP,"Hamburg-Rothenburgsort 
          Rop"
311,AHROW,"Hamburg-Rothenburgsort 
          Rw"
312,AHRS,"Hamburg-Harburg 
          (S-Bahn)"
313,AHS,"Hamburg 
          Hbf (S-Bahn)"
314,AHSB,"Hamburg-Hasselbrook 
          (S-Bahn)"
315,AHSD,"Harsefeld 
          Süd"
316,AHSF,Hamburg-Hasselbrook
317,AHSG,Hasselburg
318,AHSN,"Hemsen 
          (b Soltau)"
319,AHST,"Hamburg 
          Holstenstraße"
320,AHTB,Hüttenbusch
321,AHWA,Heinschenwalde
322,AHWH,Herwigshof
323,AHWI,Handewitt
324,AHWT,Hohenwestedt
325,AHZ,Hitzacker
326,AHZH,Herzhorn
327,AIN,Aukrug
328,AIS,Hamburg-Iserbrook
329,AIZ,Itzehoe
330,AJ,Jübek
331,AJA,"Jameln 
          (Kr Dannenberg)"
332,AJAE,Jäger
333,AJF,Jesteburg
334,AJHH,Jarrenwisch
335,AJUS,"Hamburg 
          Jungfernstieg"
336,AK,"Kiel 
          Hbf"
337,AK-O,"Kiel 
          Hbf (Ko)"
338,AK-Z,"Kiel 
          Hbf ZOB"
339,AKAD,Katharinenheerd
340,AKAR,"Karwitz 
          (Kr Dannenberg)"
341,AKC,Klecken
342,AKD,Kleinkummerfeld
343,AKE,Kiel-Elmschenhagen
344,AKEW,Kiel-Wellsee
345,AKG,"Kellinghusen 
          (Mittelholstein)"
346,AKH,Kiel-Hassee
347,AKHB,"Karlshöfen 
          (Bz Bremen)"
348,AKHD,Kremperheide
349,AKI,Keitum
350,AKIM,"Keitum 
          Mitte"
351,AKIMK,"Keitum 
          Kirche"
352,AKIMO,"Keitum 
          Ost"
353,AKLH,Kellenhusen
354,AKM,Krempe
